TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Gm11127	22.87035405	21.34566378	17.51011482	20.0115598	21.97347742	14.12580692	28.12435431	27.42324861	25.46925792	29.15970142	25.72914831	22.93459662
Ebi3	38.59372247	37.35491162	30.0173397	45.28931954	38.45358549	38.84596902	30.28776618	41.50545736	34.56542147	33.73377223	30.73203826	30.12976419
Rnf187	45.74070811	61.36878338	63.78684685	43.18283956	76.12240393	54.14892651	55.16700268	71.89338149	63.67314481	60.03467939	66.46696647	71.5019777
Spcs2	22.87035405	40.91252225	30.0173397	44.23607955	31.39068203	34.13736671	34.61458992	32.61143078	34.56542147	40.02311959	37.8790239	32.82795203
Snrpc	37.16432534	44.47013288	40.02311959	32.65043967	42.37742075	37.66881844	38.94141366	34.09376854	44.57120137	38.30784304	42.88191385	47.21828716
Ncmap	24.29975118	28.46088504	25.01444975	31.59719968	28.25161383	22.36586095	27.04264837	22.23506644	20.0115598	28.58794257	17.8674641	22.93459662
A930018P22Rik	17.15276554	16.00924784	30.0173397	16.85183983	22.75824448	17.65725864	16.22558902	25.19974197	17.28271073	25.15738946	21.44095693	17.98791892
D130052B06Rik	21.44095693	24.01387176	18.76083731	16.85183983	24.32777858	24.7201621	18.38900089	20.0115598	20.92117615	28.58794257	25.01444975	22.48489865
Mtcl1	71.46985642	89.82966842	53.78106696	68.46059931	56.50322766	68.27473343	76.80112138	63.7405238	93.69048451	54.88884973	59.31998083	62.50801824
Lnp1	22.87035405	16.00924784	18.76083731	10.53239989	23.54301153	21.18871037	16.22558902	18.52922203	15.46347803	24.58563061	18.58216267	17.53822095
Slain2	45.74070811	24.01387176	31.26806218	35.81015964	37.66881844	24.7201621	35.69629585	25.94091085	32.74618876	30.87497797	47.8848038	35.07644189
Stom	25.72914831	29.3502877	20.0115598	16.85183983	17.26487512	21.18871037	18.38900089	26.68207973	17.28271073	23.44211291	27.873244	26.53218041
Agbl4	31.44673682	33.79730099	31.26806218	30.54395969	30.60591498	16.48010807	36.77800179	40.76428848	34.56542147	40.02311959	22.87035405	31.92855608
Kera	27.15854544	21.34566378	22.51300477	15.79859984	17.26487512	21.18871037	19.47070683	22.23506644	18.19232709	28.01618372	18.58216267	19.78671081
Olfr777	18.58216267	16.8986505	25.01444975	17.90507982	18.83440922	20.0115598	16.22558902	24.45857309	22.74040886	31.44673682	15.00866985	19.78671081
Eftud2	68.61106216	53.36415946	42.52456457	49.5022795	45.51648895	43.55457132	33.53288398	56.32883498	40.02311959	44.59719041	40.73781816	44.9697973
Morf4l1	192.9686123	209.0096245	211.3721004	173.7845982	196.1917627	170.6868336	214.1777751	210.4919623	160.0924784	188.6804209	197.9715023	192.9204304
Nqo2	27.15854544	21.34566378	30.0173397	28.43747971	14.12580692	31.78306556	27.04264837	30.38792414	29.10772334	33.73377223	28.58794257	25.18308649
Gm6557	28.58794257	22.23506644	22.51300477	21.06479979	23.54301153	21.18871037	22.71582463	22.97623532	28.19810699	23.44211291	12.14987559	16.638825
